2018-08-07 15:30:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:30:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:30:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:31:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:31:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:31:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:32:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:32:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:32:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:33:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:33:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:33:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:34:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:34:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:34:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:35:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:35:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:35:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:36:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:36:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:36:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:37:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:37:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:37:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:38:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:38:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:38:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:39:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:39:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:39:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:40:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:40:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:40:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:41:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:41:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:41:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:42:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:42:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:42:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:43:35-0500 [-] LockHandler on sandon: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:43:35-0500 [-] LockHandler on yam: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
2018-08-07 15:43:35-0500 [-] LockHandler on alpeel: access type 'view' changed from 'view:attr(alive, 1)' to 'view:attr(alive, 1)'
